packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9785522788203753,0.9630606860158312,0.9707446808510638
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8545454545454545,0.8468468468468469,0.8506787330316742
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9567723342939481,0.9851632047477745,0.9707602339181286
32bitVMProtect,185,0.900990099009901,0.9837837837837838,0.9405684754521964
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.9199029126213593,0.9818652849740933,0.949874686716792
64bitThemida,1065,0.999054820415879,0.9924882629107982,0.9957607159679699
64bitOriginal,270,0.8972602739726028,0.48518518518518516,0.6298076923076923
64bitObsidium,395,0.9949494949494949,0.9974683544303797,0.9962073324905184
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.7782608695652173,0.9862258953168044,0.8699878493317132
64bitVMProtect,24,0.5714285714285714,0.16666666666666666,0.25806451612903225
