packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9837837837837838,0.9604221635883905,0.97196261682243
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8376068376068376,0.8828828828828829,0.8596491228070176
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9736070381231672,0.9851632047477745,0.9793510324483776
32bitVMProtect,185,0.8921568627450981,0.9837837837837838,0.9357326478149101
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.9066985645933014,0.9818652849740933,0.9427860696517414
64bitThemida,1065,1.0,0.9924882629107982,0.9962299717247879
64bitOriginal,270,0.9,0.4666666666666667,0.6146341463414634
64bitObsidium,395,0.9974747474747475,1.0,0.9987357774968395
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.7732181425485961,0.9862258953168044,0.8668280871670703
64bitVMProtect,24,0.4,0.08333333333333333,0.13793103448275862
