packer,#,precision,recall,f-measure
32bitASPack,370,0.9973045822102425,1.0,0.9986504723346828
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9759358288770054,0.9630606860158312,0.9694555112881806
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8585858585858586,0.7657657657657657,0.8095238095238094
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9488636363636364,0.9910979228486647,0.969521044992743
32bitVMProtect,185,0.8905472636815921,0.9675675675675676,0.927461139896373
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.9287469287469288,0.9792746113989638,0.9533417402269861
64bitThemida,1065,1.0,0.9924882629107982,0.9962299717247879
64bitOriginal,270,0.9071428571428571,0.4703703703703704,0.6195121951219512
64bitObsidium,395,0.9974747474747475,1.0,0.9987357774968395
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.76,0.9944903581267218,0.8615751789976134
64bitVMProtect,24,0.3333333333333333,0.125,0.18181818181818182
