packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9837837837837838,0.9604221635883905,0.97196261682243
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8543689320388349,0.7927927927927928,0.822429906542056
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.943342776203966,0.9881305637982196,0.9652173913043479
32bitVMProtect,185,0.893048128342246,0.9027027027027027,0.8978494623655914
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,1.0,0.9766839378238342,0.9882044560943645
64bitThemida,1065,1.0,0.9924882629107982,0.9962299717247879
64bitOriginal,270,0.946236559139785,0.32592592592592595,0.48484848484848486
64bitObsidium,395,0.9974683544303797,0.9974683544303797,0.9974683544303797
64bitPESpin,396,0.9974811083123426,1.0,0.9987389659520807
64bitUPX,363,0.6504504504504505,0.9944903581267218,0.7864923747276688
64bitVMProtect,24,0.25,0.25,0.25
