packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9891304347826086,0.9604221635883905,0.9745649263721552
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.839622641509434,0.8018018018018018,0.8202764976958524
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9405099150141643,0.9851632047477745,0.9623188405797101
32bitVMProtect,185,0.8926829268292683,0.9891891891891892,0.9384615384615385
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.8917647058823529,0.9818652849740933,0.9346485819975339
64bitThemida,1065,0.9981114258734656,0.9924882629107982,0.995291902071563
64bitOriginal,270,0.9020979020979021,0.4777777777777778,0.6246973365617434
64bitObsidium,395,0.9949494949494949,0.9974683544303797,0.9962073324905184
64bitPESpin,396,0.9825436408977556,0.9949494949494949,0.9887076537013801
64bitUPX,363,0.7937915742793792,0.9862258953168044,0.8796068796068796
64bitVMProtect,24,0.5,0.08333333333333333,0.14285714285714285
