packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9733333333333334,0.9630606860158312,0.9681697612732096
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8476190476190476,0.8018018018018018,0.8240740740740742
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9541547277936963,0.9881305637982196,0.9708454810495626
32bitVMProtect,185,0.8883495145631068,0.9891891891891892,0.9360613810741688
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.9172749391727494,0.9766839378238342,0.9460476787954831
64bitThemida,1065,0.999054820415879,0.9924882629107982,0.9957607159679699
64bitOriginal,270,0.8983050847457628,0.3925925925925926,0.5463917525773195
64bitObsidium,395,1.0,0.9974683544303797,0.9987325728770595
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.7352342158859471,0.9944903581267218,0.8454332552693208
64bitVMProtect,24,0.5,0.08333333333333333,0.14285714285714285
