packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,1.0,0.9551451187335093,0.9770580296896088
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8571428571428571,0.3783783783783784,0.525
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.8140096618357487,1.0,0.8974700399467376
32bitVMProtect,185,0.8862275449101796,0.8,0.8409090909090909
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,1.0,0.9766839378238342,0.9882044560943645
64bitThemida,1065,1.0,0.9924882629107982,0.9962299717247879
64bitOriginal,270,0.8775510204081632,0.15925925925925927,0.2695924764890282
64bitObsidium,395,0.9949622166246851,1.0,0.9974747474747475
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.6080402010050251,1.0,0.75625
64bitVMProtect,24,0.14285714285714285,0.25,0.18181818181818182
