packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9706666666666667,0.9604221635883905,0.9655172413793104
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8490566037735849,0.8108108108108109,0.8294930875576036
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9595375722543352,0.9851632047477745,0.9721815519765739
32bitVMProtect,185,0.8894472361809045,0.9567567567567568,0.9218749999999999
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.9195121951219513,0.9766839378238342,0.9472361809045227
64bitThemida,1065,1.0,0.9924882629107982,0.9962299717247879
64bitOriginal,270,0.9032258064516129,0.4148148148148148,0.5685279187817258
64bitObsidium,395,0.9949622166246851,1.0,0.9974747474747475
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.742798353909465,0.9944903581267218,0.850412249705536
64bitVMProtect,24,0.2727272727272727,0.125,0.17142857142857143
