packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9758713136729222,0.9604221635883905,0.9680851063829787
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8508771929824561,0.8738738738738738,0.8622222222222221
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9851632047477745,0.9851632047477745,0.9851632047477745
32bitVMProtect,185,0.8848167539267016,0.9135135135135135,0.898936170212766
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.8782201405152225,0.9715025906735751,0.9225092250922509
64bitThemida,1065,0.9971698113207547,0.9924882629107982,0.9948235294117648
64bitOriginal,270,0.85,0.44074074074074077,0.5804878048780489
64bitObsidium,395,1.0,1.0,1.0
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.7850877192982456,0.9862258953168044,0.8742368742368742
64bitVMProtect,24,0.1111111111111111,0.08333333333333333,0.09523809523809525
