packer,#,precision,recall,f-measure
32bitASPack,370,0.9973045822102425,1.0,0.9986504723346828
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.989100817438692,0.9577836411609498,0.9731903485254692
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8539325842696629,0.6846846846846847,0.76
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9005376344086021,0.9940652818991098,0.9449929478138224
32bitVMProtect,185,0.8911917098445595,0.9297297297297298,0.9100529100529101
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.9947229551451188,0.9766839378238342,0.9856209150326798
64bitThemida,1065,1.0,0.9924882629107982,0.9962299717247879
64bitOriginal,270,0.8924731182795699,0.3074074074074074,0.4573002754820936
64bitObsidium,395,1.0,1.0,1.0
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.6575591985428051,0.9944903581267218,0.7916666666666666
64bitVMProtect,24,0.1875,0.125,0.15
