packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9784366576819407,0.9577836411609498,0.968
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8305084745762712,0.8828828828828829,0.8558951965065502
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9851632047477745,0.9851632047477745,0.9851632047477745
32bitVMProtect,185,0.8888888888888888,0.9081081081081082,0.8983957219251336
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.9128329297820823,0.9766839378238342,0.9436795994993743
64bitThemida,1065,0.999054820415879,0.9924882629107982,0.9957607159679699
64bitOriginal,270,0.8768115942028986,0.44814814814814813,0.5931372549019608
64bitObsidium,395,1.0,1.0,1.0
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.7584745762711864,0.9862258953168044,0.8574850299401197
64bitVMProtect,24,0.15,0.125,0.13636363636363635
