packer,#,precision,recall,f-measure
32bitASPack,370,0.9973045822102425,1.0,0.9986504723346828
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9731903485254692,0.9577836411609498,0.9654255319148937
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8421052631578947,0.8648648648648649,0.8533333333333334
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9793510324483776,0.9851632047477745,0.9822485207100592
32bitVMProtect,185,0.8900523560209425,0.918918918918919,0.9042553191489362
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.8767441860465116,0.9766839378238342,0.9240196078431372
64bitThemida,1065,0.999054820415879,0.9924882629107982,0.9957607159679699
64bitOriginal,270,0.8646616541353384,0.42592592592592593,0.5707196029776676
64bitObsidium,395,1.0,1.0,1.0
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.7799564270152506,0.9862258953168044,0.8710462287104623
64bitVMProtect,24,0.16666666666666666,0.125,0.14285714285714288
