packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9890710382513661,0.9551451187335093,0.9718120805369128
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.84375,0.24324324324324326,0.37762237762237766
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.7938388625592417,0.9940652818991098,0.8827404479578392
32bitVMProtect,185,0.8714285714285714,0.32972972972972975,0.47843137254901963
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.9973544973544973,0.9766839378238342,0.9869109947643979
64bitThemida,1065,1.0,0.9924882629107982,0.9962299717247879
64bitOriginal,270,0.875,0.2851851851851852,0.4301675977653632
64bitObsidium,395,0.9949622166246851,1.0,0.9974747474747475
64bitPESpin,396,1.0,0.9949494949494949,0.9974683544303797
64bitUPX,363,0.6390845070422535,1.0,0.7798066595059077
64bitVMProtect,24,0.1079136690647482,0.625,0.18404907975460122
