packer,#,precision,recall,f-measure
32bitASPack,370,0.9973045822102425,1.0,0.9986504723346828
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9838274932614556,0.9630606860158312,0.9733333333333334
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8857142857142857,0.27927927927927926,0.4246575342465753
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.8004750593824228,1.0,0.8891820580474934
32bitVMProtect,185,0.8976377952755905,0.6162162162162163,0.7307692307692307
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,1.0,0.9766839378238342,0.9882044560943645
64bitThemida,1065,1.0,0.9924882629107982,0.9962299717247879
64bitOriginal,270,0.9591836734693877,0.17407407407407408,0.2946708463949843
64bitObsidium,395,0.9753086419753086,1.0,0.9875
64bitPESpin,396,1.0,0.9949494949494949,0.9974683544303797
64bitUPX,363,0.612141652613828,1.0,0.7594142259414226
64bitVMProtect,24,0.13580246913580246,0.4583333333333333,0.2095238095238095
