packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,0,0.0,0
32bitEnigmaProtector,166,0,0.0,0
32bitmpress,379,0.9972451790633609,0.9551451187335093,0.9757412398921832
32bitThemida,497,0,0.0,0
32bitOriginal,111,0,0.0,0
32bitObsidium,358,0,0.0,0
32bitUPX,337,0,0.0,0
32bitVMProtect,185,0,0.0,0
64bitEnigmaProtector,196,0,0.0,0
64bitmpress,386,1.0,0.9715025906735751,0.985545335085414
64bitThemida,1065,1.0,0.9924882629107982,0.9962299717247879
64bitOriginal,270,0,0.0,0
64bitObsidium,395,0.3751274209989806,0.9316455696202531,0.5348837209302325
64bitPESpin,396,0.9899497487437185,0.9949494949494949,0.9924433249370276
64bitUPX,363,0.23314065510597304,1.0,0.378125
64bitVMProtect,24,0.030104712041884817,0.9583333333333334,0.0583756345177665
